Title,lyrics
BTS Cypher Pt.1,"[Verse 1: RM] Damn 힙부심, 아이돌 랩퍼? Cut that 불씨 어차피 본질은 아이돌 쉿이라며 날 무시해 줏대 따위는 개주고 내 이름을 비웃지 물타기와 무시밖에 모르는 니들이 How you kill me? So I bring the monster back, my monster swag So this is the monster track cause of my freaking monster rap 현대판 홍길동들 좋은 걸 보고도 좋다고 못해 3세대 리더 so imma lead ya 이건 세대교체 I'm sayin Yeah I'm the top of the top of the top Poppin' 'em, rockin' 'em, stoppin' 'em, blockin' 'em Like the Cassius' lance, Imma don 비트 끄지마 becuz I'm not freakin' Done 비트 위에선 까불지마 Cuz every kick is my freaking zone 난 원래 관대해 But now imma murder your rappers 차례대로 썰어버리고 Then imma murder you haters 자 이제 날 봐, 그리고 말해봐 누가 니 top 5? 랩몬스터, 란다, 리다, 랩몬, 니 아빠 [Verse 2: J-Hope] 지금은 hope world, from BTS 전부 날 follow 내 가능성은 리트윗돼 모두에게 알려 내 flow 고막을 타고 니 몸을 채워 칼을 갈았어, 내일을 위해 Get back in the days 나이도 나이고, 라임도 몰랐던 아이고 그저 아이돌 바라본 광주의 흔한 아이였던 나 그래 이젠 보여줄게 이 트랙 위 Cypher에서 내 포부를 밝혀 I'm above the minors 그래 너완 다른 메이저 uh TV screen을 난 채워 uh 래퍼 코스튬? no 거품을 거두고 내뱉어 내가 원하던 것을 난 지금 어딜 가도 이슈감 배가 아프면 병원 가 전치 2주감 내 패배를 바랬던 사람들 다 뒷목을 잡지 힙부심 판치는 게임 위 j-hope은 반칙 [Verse 3: Suga] 난 미필 but 취미는 저격 We are bulletproof로 한방을 먹였지 어설픈 가짜들은 찔려 반응하지 좀더 열폭 해봐라 내 발음화질은 4k I'm dope man 난 비트 위에선 쇼팽 난 절때 안 변해 태어날 때부터 난 모태 Born rapper, my attitude는 내 멘토 니들이 씹고 물어 뜯어도 난 메멘토 힙부심 부려봐 내게 느끼는 무력감 질투심 숨겨라 니 아이피 다 보일라 난 보일러 순식간에 hot해졌지 스포일러처럼 너는 안 봐도 뻔해졌지 속절 없이 멍청한 힙찌질일 고쳐놨지 근본 없이 커져간 이 가요곈 공존하기엔 빡세 그러니 랩은 취미로 해 말세야 말세, 찔리면 노력해 what"
BTS – Cypher 2 Triptych,"Because of who? Because of J-Hope Because of who? Because of Rap Mon Again, because of who? Because of Suga All of the style and flow is because of Bang Tan The kids who will lead the 21st century Hallyu has started to play We’re seven wolves, gathering the lambs with a trap We pull through all the broken rap from now on We keep driving forward, giants on the beats Bang Tan cypher right here, psycho right here Whoever’s in the ring, we’ll win, rap fighter right here I’ll say hi, you’ll say bye, a burnt tire, we’re different Fire, hot choir, captivating K-Pop like PSY My rap is huge, I’ll say right in your ear, bug that Our riots got successively stronger Don’t need long explanations, just explain with a rap BTS, follow the leader, let’s go now What I’m a rap wiper, a complete psycho, if I’m a dicer, then I have all the dice Cypher, if you’re nice, I’m nicer If you’re Pride, then I’m a Chrysler, that means I’mma priceless Who are you to judge my rap? Rapper? This is One Piece, I’m a Whitebeard, you just have long beards like catfish, bucket Hehe haha, honk honk, 300 per hour I’m going through the process of working hard I won’t discriminate but catch them all, tombstone, knock knock knock out Fire in the hole beat BING BING POW POW, you’ll cry and look for your dad My voice constricts the voices of the plain rappers at all times, like the PC cafe closing This is a kingdom, I’m a king, you’re dumb I’m chew you and swallow, you’re bubblegum On top of the running man is the flying man On top of the flying man is the one who rides on him That’s me, beat, a badder guy than Rain Like rags, I just hang it up, after I play with it, I rip up your eardrums, boom boom boom This is the curse of my dawn, a nightmare, a riot, serial murder, theft, doom doom doom You’re like a Katalk with no friends, no reason to look Did you already wet your pants? Sorry, there’s no bathroom I’m commanding you, let go of the mic and get up Just do the “chun” because you have no “shil”1 I’ll push you out because I really don’t like you I’m good at sewing, putting it into practice I’m growling right now, you’re in a bit of danger Just do the “yeon,” like I said, you have no “shil”2 Rise and rise to the sky but get ripped, bucket, I’ve forgotten you My voice, my hegemony, I made it from one to ten I put the whole world on my tongue I play with big boys, I ain’t spittin low sh On the CD or the TV, you can see me, envy me, it’s a pity, gee gee Beat I’mma monster I rap with a prospect, yeah I rap with a mindset I’m a suspect Sucka where yo rhymes at where you lines at? I’m da king, I’m the god so where ma emperors at? I parachute on my Neverland, I’mma peter pan, so this will never end You know when I ride on my G5 you sit first class and satisfy and I keep giggling Keep gigglin, keep jigglin, bring yo booking mic beat, wanna have a go? Hyungs who are sick with pride and strange beliefs get lost after 8 measures You old catepillars, I’ll give you this beat, give it a try Hey, start talking when you can start rapping There should be a law restricting you from rapping Because of who? Because of J-Hope Because of who? Because of Rap Mon Again, because of who? Because of Suga Us three gather together and shout out a new generation Because of J-Hope Because of who? Because of J-Hope Because of who? Because of Rap Mon Again, because of who? Because of Suga The next batter will rap on top of this beat My domain is dopeman.com, scolded many with a mic Speech and action are like shackles, my crime is assault with my tongue You’re so bad ever since you were born If you’re gonna whine about this beat, just leave Look at the arrogance of the hip-hop con artists When you were playing underground, BTS was playing at ground level Compared to you who sleeps all night, I’m a workaholic, shoppaholic Overspending on my pens that are more in number than your fans, if I go all in and shoot, it’s a goal in Goal in, I’m ballin, when I hear your rap, I’m about to throw up My voice even bewitches your girlfriend The studio is my playground, my partner is a pen and paper You think being escorted makes you powerful, I hope you put down your mic If I’m the sun, you’re the moon, because when I rise, you go down All you hip-hip designer brand bastards, come down from the foamy bubbles Hey you brats, your crappy rap is a burden to others Take a break and wait, just go to Hawaii, go home See how far I go, all the rotten roots will be replaced Everyone, let’s play a game, without efforts, you’ll just be grieving You think you can do music? Just go look for a part-time job Although your short and thin career will get you nowhere I hope you survive, keep rotting away, that’s your label Your life is like a mudfish, your rap is recycled You save up and divide up the flow, write it up and use it again Hey beat, know that you’re embarrassing, just with 24 measures, you lay down sick Compared to your size, your rap is so thin Like your parents, my heart hurts every time I see you I’ll put a period at the artery of your music career"
BTS – Cypher Part 1,"Damn the hip-hop pride, idol rapper? Cut that bullshit He’s originally an idol shit anyway – they look down on me They give their principles to the dogs and laugh at my name You only know how to go with the tide and look down on others, how you kill me? So I bring the monster back, my monster swag So this is the monster track cuz of my freakin monster rap The modern day Hong Kil Dong’s, they see good things but can’t call it good Third generation leader, so I’mma lead ya, this is a generation change I’m sayin yeah I’m the top of the top of the top Poppin em, rockin em, stoppin em, blockin em, like the Cassius’ lance Imma don, don’t turn the beat off becuz I’m not freakin done Don’t play around on top of the beat, cuz every kick is my freaking zone I was always generous but now I’mma murder you rappers Cut em up by order then I’mma murder you haters Now look at me and tell me, who’s in your top 5? Rap Monster, Randa, Rida, Rapmon, your dad Right now it’s hope world from BTS Everyone follows me, my potential gets retweeted Let everyone know my flow, ride your eardrums and fill your bodies I sharpened my sword for tomorrow, get back in the days Considering my age, I was a kid who didn’t know rhymes I was just a common kid from Gwangju who looked at idols Now I’ll show you, on the Cypher on top of this track I’ll reveal my aspirations, I’m above the minors It’s a major different from you, uh I fill up the TV screen Rapper costume? No, I take away the foam and spit it out, whatever I want Wherever I go, it becomes an issue If you’re jealous, go to the hospital, two weeks to heal Everyone who hoped for my defeat is holding onto their necks J-Hope plays a foul on top of the game that rides with hip-hop pride I have yet to go to the army but my hobby is sharpshooting We are bulletproof was a big hit The clumsy fakers was pricked and reacted Feel a little more inferior, the quality of my pronunciation is 4k I’m dope man, I’m the Chopin of the beat I won’t ever change, I was born a rapper, my attitude is my mentor Even if you talk smack about me, I’m memento Show your hip-hop pride but you’ll still feel impotent Hide your jealousy, I can see your IP address I’m a boiler, I get hot in an instant Like a spoiler, you’re so typical Fixed up and stupid hip-hop losers with nothing inside It’s too hard to last in this growing world of K-Pop so just rap as a hobby It’s the end of the world, if you’re guilty, try harder, what"
BTS – Skool Luv Affair,"First meet, first text, first phone call First date, first kiss In our own space, I want everything to be a first with you I have an eating disorder, whatever I eat, I’m still hungry for you The word “addiction” can’t express all of this Describing a girl like you is impossible, it transcends the poetic It’s because of you, like a capital letter, I want to place you first in my life A good house, a good car, those things can’t be happiness but I want to give it to you (“Hold on, hold on, turn off the music for a second” “Why?” “Hyung, this isn’t it, hyung” “What?” “What’s up with that last line ‘doo go bwa’ (which means ‘just wait’)” “It’s actually ‘joo go pa’ (which means ‘want to give you’)” “Oh really? Well let me show you my style. Give me the music! Yeah, that’s right, this is it! Hyung, this kinda style! Love should be hopeful!”) Confessing my love without hesitating is my style If it’s for you, I’m the type to sacrifice my body I’ll always shine the light on you girl This is a love stage for you and me We’re blinded by love, sweet and playful Our future is bright and dazzling, colorful If I have you, it’s like I have everything, like a milli The door of love has opened now with you, go in (“Ahh, this is awesome! Love should be hopeful!” “How can life always be hopeful? This is not the Bang Tan style.” “Then what is it?” “Bang Tan style is hip-hop” “Hip-hop?” “Let’s go”) BTS, the way we love Whether you’re in your teens or twenties, love is all the same RM, so now I’m telling you the story I loved this much before, how about you? This is just an intro shouting bout my whole mind and body You know that her refusals and bad words could never stop me They could never retard me, this is my ideology Who in the world can dampen my heart’s blood? Nobody (Wassup) I’ll ask you again (Wassup) How about yo? If you haven’t loved yet, how about doing it like me? A person’s emotions is so strange I’m the one who makes you smile but you go to the bastard who makes you cry (I said) Yeah that’s love (I said) yeah that’s love Some may call me a loser but I’m really OK As if I’ve never been hurt by love before As if I’ll give even more when she takes away my all Wassup When in love, be passionate When you’re singing, make it prickly Passionate and prickly When we’re in love, we’re passionate When we’re singing, we’re prickly Passionate and prickly This is Bang Tan style This is Bang Tan style This is Bang Tan style Bang Tan style, Bang Tan style Wassup"
Baby Blue Love,"Come on here and see the lights I think summer is coming here, let’s go I’m ready, l’m ready I see those shining stars in your eyes I think the moonlight is starting to look different I love the way it feels so cool And when we dance so close, oh, babe I’m lovin’ this deep summer night You take me to the burning sun Hey boy, play the track ’cause you give me heart attack You’re my baby blue love and Get my body rockin’ I’ll be melting into this season all night long You’re my baby blue love (ooh!) Jump jump, it’s time I wonder, what’s next? Don’t stop, (don’t stop) get down, as I am led I rock on After this summer, we go round and round Round and round, baby one more time, I know I love the way it feels so cool (so cool) And when we dance so close, oh, babe (when we dance) I’m lovin’ this deep summer night (lovin’ this, summer night) You take me to the burning sun Hey boy, play the track (yeah) ’cause you give me heart attack You’re my baby blue love and Get my body rockin’ (baby) I’ll be melting into this season all night long You’re my baby blue love (ooh!) Doo-doo-doo-doo-doo-doo-doo-doo (doo-doo) Doo-doo-doo-doo-doo-doo (doo-doo-doo) Doo-doo-doo-doo-doo-doo-doo-doo (doo-doo) Baby blue love Doo-doo-doo-doo-doo-doo-doo-doo (doo-doo) Doo-doo-doo-doo-doo-doo (doo-doo-doo) Doo-doo-doo-doo-doo-doo-doo-doo (doo-doo) Hey boy, play the track ’cause you give me heart attack You’re my baby blue love and Get my body rockin’ I’ll be melting into this season all night long You’re my baby blue Even if the next summer night passes Even if the cold season approaches In my memory, you and I are playing this song You and I this season all night long You’re my baby blue love"
Bad Day,"Under the tall street light I’m on my way back home alone Saying the lonely words, I don’t want to go… My footsteps get slower I go around the neighborhood a few times and in the end I stand in front of my house and fish for my keys I’m a loner in my noise-less room Feeling nervous, I turn up the TV volume But why are those people laughing? I hope a dark rain falls I feel someone’s body heat on the empty playground bench Why is this warmth making me feel even colder? I bury my face in my scrunched up shoulders My hands that I hid in my pockets get cold The wind is colder than yesterday so I snuggle deeper into my blankets But the wind digs in and makes me cold in every nook and cranny Outside the window, there are no signs of life, as if the lights have all turned off As I look out, I let out a meaningless breath My room is colder than the middle of winter, the air is cold even to the tips of my fingers If spring never comes, would that be better? Will the icicles in my room melt when a sunny, good day comes? Romanized:"
Bet You Wanna,"Blackpink Cardi Tell me where you wanna go I’ll meet you with my bags at the door (Ah I’m gon’ make you go blind Every time I walk my hips they don’t lie) Take me to your paradise ‘cause I don’t wanna wait anymore (Ah I’ll say it one more time Every time I walk my hips they don’t lie) You wanna touch wanna touch Of course you wanna You wanna run with my love I know you wanna From the club to the tub You said you wanna Give me an all night hug I bet you wanna I bet you wanna I bet you wanna I bet you I bet you I bet you wanna, I bet you wanna, I bet you wanna Something bout me’s takin you higher And you ain’t ever gonna come down (You ain’t ever, you ain’t ever) I’m lighting your fire And it ain’t ever gonna go out (It ain’t ever, it ain’t ever) Take the car keys Drive me crazy Cardi a good catch But you gotta chase me Grab my waist line but don’t ever waste me Turn on please me but don’t ever play me One of a kind You can’t replace me Time to shine I bust down the ap The stakes is higher Let’s do what we both desire On god like I’m in the choir I bet you if you make me sweat I’ll still be on fire You wanna touch wanna touch Of course you wanna You wanna run with my love I know you wanna From the club to the tub You said you wanna Give me an all night hug I bet you wanna I bet you wanna I bet you wanna I bet you I bet you I bet you wanna, I bet you wanna, I bet you wanna Something bout me’s takin you higher And you ain’t ever gonna come down (You ain’t ever, you ain’t ever) I’m lighting your fire And it ain’t never gonna go out (It ain’t ever, it ain’t ever) If you want me Better bet higher Wanna look down Up in the sky ahh (Higher higher higher higher high Boy better take it up so damn high) Lookin so thick Make you desire I’m a whole bit Keep you up higher (Higher higher higher higher high) Something bout me’s taking you higher And you ain’t ever gonna come down (You ain’t ever, you ain’t ever) I’m lighting your fire And it ain’t ever gonna go out (It ain’t ever, it ain’t ever) Something bout me’s taking you higher And you ain’t ever gonna come down (You ain’t ever, you ain’t ever) Bet you wanna love this ahhh"
Between The Lips,"Oh darling, don’t cross it The distance between our lips is still 50cm Stop trying to tempt the innocent me with sweet and obvious words Love, this love will be perfect Largo, adagio, don’t rush Slowly, baby slowly, very slow, with a slow tempo Oh darling, don’t cross it The distance between our lips is still 50cm With honest words, until I can feel your pure heart The distance is 50 cm Love, this love will be perfect Largo, adagio, don’t rush Slowly, baby slowly, very slow, with a slow tempo Our love, this love will be electrifying Love ya, baby love ya When my red lower lip touches your top lip Please don’t cross it The distance between our lips is still 50cm Don’t make me into a common girl with sweet and obvious words Save me for a little longer The distance between our lips is still 50cm Hush hush baby, push me oh baby Please listen to this small request Hush hush baby, cherish me baby"
Blue & Grey,"Where is my angel at the end of the day someone come and save me, please A weary sigh of the day I guess everyone’s happy Can you look at me? Cuz I am blue & grey the meaning of the tears in the mirror My color hidden in laughter blue & grey I don’t know where it went wrong Ever since I was a kid, I’ve had a blue question mark inmy head. My head Maybe that’s why you’ve been living so hard But when I looked back, I found out that this is the Urduke and the suni That frosty shadow that devours me Still, the blue question mark Whether it’s anxiety or depression How can you be such an animal of regret? Or maybe it’s me who’s born of loneliness I still don’t know. Thistle blue I hope it doesn’t erode. I’ll find it exit I just wanna be happy Melt me cold My numerous hands Colorless echo Oh this ground feels so heavier I am singing by myself I just wanna be happy is this a big greed? I felt when I walked on the streets in the cold winter The fastening breath of the heart I still feel it Don’t say it’s okay ‘cause its not okay Please don’t leave me alone It hurts so much The usual walk and the ever-expression of light I am singing by myself I just wanna be happy Is this a big greed? I felt when I walked on the streets in the cold winter The fastening breath of the heart I still feel it Don’t say it’s okay ‘cause its not okay Please don’t leave me alone It hurts so much The usual walk and the ever-expression of light But today some strange scene Is it dull or is it broken? But it’s heavy, this lump of metal Approaching gray rhinoceros I’m just standing there without focus It’s not like me at this moment I’m just not scared I don’t believe in god Colorful words tickle A large gray area is convenient Here’s a glee with hundreds of millions of different Facial expressions When it rains, my world Dancing over this city It’s foggy on a clear day On wet days, we’ll always be together All the dust here Toast to I just wanna be happy Feel the warmth of my hands It’s not warm. I need you more Oh this ground feels so heavenlier I am singing by myself In the distant future, when I smile I’ll tell you. I did"
Born Ready,"Here I go here I go here I go here I go I was born like this Dna for you Stand by always ready Temperature of the heart, cell division My genes are already working hard Dream of a destiny hanging by a thread Trade my soul for your heart No matter how bad the situation is I won’t give up I’m stronger There’s no one like this I’m the one & only Reason for my existence is as if it’s for you dazzling light That’s you for real Break through the darkness and run to you Good morning morning Are you ready Born ready born ready Born ready born ready Here I go here I go Here I go here I go Are you ready Born ready born ready Born ready born ready Here I go here I go Here I go here I go Born ready born ready Whenever I close my eyes nightmare When I open my eyes I yell Are you there I’m running through darkness your seat is already first class As time passes you become more distinct I, who’s becoming crazy about you is too strong Night like today I want you more You who are becoming more distinct is intense There’s no one like this I’m the one & only Reason for my existence is as if it’s for you dazzling light That’s you for real Break through the darkness and run to you Good morning morning Are you ready Born ready born ready Born ready born ready Here I go here I go Here I go here I go Are you ready Born ready born ready Born ready born ready Here I go here I go Here I go here I go Born ready born ready Uh I’m already ready Uh to the world hello My time to shine I will run endlessly Watch me do it Come on Are you ready Born ready born ready Born ready born ready Here I go here I go Here I go here I go Are you ready Born ready born ready Born ready born ready Here I go here I go Here I go here I go Are you ready Born ready born ready Born ready born ready Here I go here I go Here I go here I go"
Born Singer,"I want you forever I want to be forever with you, ah Forever we are young Lily among the raindrops This running maze that wanders Forever we are young Even if you fall and get hurt Endlessly running towards the dream If I never met you Oh, what am I like, baby Every time I miss you (miss you) Those words that have became a habit (it’s so true) When I opened my eyes 10 years ago I was watching around nonhyeon-dong I cried so easily When you laugh Whеn I just looked back After many seasons You always hеre with us together And every second was forever, oh Mind’s unmeasurable My life was slipping When your head hits the pillow I didn’t want to wake up tonight (wake up) Now you are here This a new home to me I’ll be back anytime Baby, don’t you worry This road we walk Everything will be a way, oh If I never met you Oh, what am I like, baby Every time I miss you (miss you) Those words that have became a habit (it’s so true) You’re my best friend For the rest of my life Oh, one, two, three Our sun, ayy Can’t forget, mmh Every moment, ayy Oh, my spring day I was like myself, thanks to the flower that took responsibility Your countless words that comforted me, oh, oh, oh That’s what made myself, oh, oh, oh Yes, you’re my youth Again, my youth, my grateful friend My pride, heaven, and love It was dark everywhere (it was dark) In the meantime, a ray of light (a ray of light) I’m really glad it’s you We shine because we are together Running Falling again Get myself up Falling down, oh Would you give me your hand How many times will it happen If you are tired, you can rest awhile (oh, oh, oh) I’m always here, waiting for you *daydreamin’ ’bout us facin’ Really don’t wanna say it, but* If I never met you Oh, what am I like, baby Every time I miss you (miss you) Those words that have became a habit (it’s so true) You’re my best friend For the rest of my life I wish I could turn back time When everything was easy at that time (at that time) I should’ve told you more (told you) I’ll be with you For the rest of my life, ooh, ooh, yeah Rest of my life"
Boy In Luv,"I want to be your oppa I’m so hungry for your love I want to be your oppa I’ll have you, just watch Why are you shaking up my heart? Why are you shaking up my heart? Why are you shaking up my heart? Shaking up, shaking up (Dad) Just how exactly did dad ask mom out? Should I write you a letter? What is this? I become like dust in front of you You make me so angry and mad for no reason I’m serious but you make me into a loser, who picks fights with you Why do I care so much about you? You’re making a big boy act like a little kid But I’ll turn things around From just knowing each other to becoming lovers If it’s with you, I think I can go to a good college ABCDEFGH Hakuna Matata Your profile picture is the same but why do I keep checking it? But don’t misunderstand, I’m not an easy guy I’m getting nervous, I’m getting nervous Who are you? Are you that great? Why do you keep teasing me? Just stop now, hold up, hold up Hold me tight before I kiss you Before my heart lets you go Say what you want Say what you want What is it that you really want? Hold me tight before I kiss you Before my heart lets you go Say what you want Say what you want What is it that you really want? Why are you shaking up my heart? Why are you shaking up my heart? Why are you shaking up my heart? Shaking up, shaking up A bad bad girl on the outside An even more bad bad girl on the side If you lose a guy like me, you’ll regret it You checked my text message but you’re not pressing send The “1″ disappears, making me so anxious1 Maybe I’ll buy a GPS navigation (Quickly quickly quickly) I keep trying to appeal to you (trying trying trying) Genuine feelings? (I got em) Endurance? (I got em) The only thing I don’t have is your beauty beauty beauty How should I change for you? (hold up) Playing mind games? Two-timing? I don’t know how to do that But if you’re ever sick, don’t call 911 but call me Tell me to cry, I’ll cry, tell me to smile, I’ll smile, tell me to roll around, I’ll roll around I’m getting nervous, I’m getting nervous Who are you? Are you that great? Why do you keep teasing me? Just stop now, hold up, hold up Hold me tight before I kiss you Before my heart lets you go Say what you want Say what you want What is it that you really want? Hold me tight before I kiss you Before my heart lets you go Say what you want Say what you want What is it that you really want? I want to be your oppa Why don’t you know my heart for you? Even if you ignore me Even if you act cold, I can’t push you out of my mind I want to be your oppa I will be your man, just watch So that my heart can touch yours I will run to you right now Hold me tight before I kiss you Before my heart lets you go Say what you want Say what you want What is it that you really want? Hold me tight before I kiss you Before my heart lets you go Say what you want Say what you want What is it that you really want?"
Breath (넌 날 숨 쉬게 해),"Turn the lights on The light is on The moment you came to me To my dying heart With warmth Fill me up Now breathe the same breath Creeping overcast The boundary between you and me Breathe in Breathe out You and me now You make me breathe Deeper and deeper You’re making me fly I feel it feel it You make me breathe Everything about me changes because of you I feel like I’m alive I can feel your love You make me breathe You’re making me fly A feeling that is difficult to express in words It’s like walking on clouds. Like a dream More than a moment’s dream It means something You are so amazing To my dying heart With warmth Fill me up Now breathe the same breath Creeping overcast The boundary between you and me Breathe in Breathe out You and me now You make me breathe Deeper and deeper You’re making me fly I feel it feel it You make me breathe Everything about me changes because of you I feel like I’m alive I can feel your love You make me breathe You’re making me fly What do you want? You don’t have to talk anymore with me I can tell just by looking into the eyes This moment we’re breathing together That’s enough for me We keep going down down down I don’t know where the end is, but you and I It’s beautiful. More than anything Remember this moment. This moment All I need is you To my dying heart With warmth Fill me up Now breathe the same breath Creeping overcast The boundary between you and me Breathe in Breathe out You and me now You make me breathe Deeper and deeper You’re making me fly I feel it feel it You make me breathe Everything about me changes because of you I feel like I’m alive I can feel your love You make me breathe You’re making me fly"
